ID,e_city_id,s_city_id,NOMBORIGEN,EMP07_1,EMP07_2,EMP07_3,EMP07_4,EMP07_5,EMP07_6,EMP07_7,EMP07_8,EMP07_9,EMP07_10,TOTAL_PERSONAS,s_lon,s_lat,e_lon,e_lat,Region_origen,Region_destino,Flujo_Migratorio
135916,170101,80101,80101. Dpto. Cusco   Prov. Cusco   Dist. Cusco,7,89,51,54,131,13,79,103,142,45,714,-71.9876066,-13.49254085,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
135950,170101,81301,81301. Dpto. Cusco   Prov. Urubamba   Dist. Urubamba,-,2,1,3,8,2,6,9,13,1,45,-72.13126781,-13.24494357,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
135981,170101,80105,80105. Dpto. Cusco   Prov. Cusco   Dist. San Sebastian,-,18,10,13,36,1,22,25,43,11,179,-71.92574638,-13.53325367,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136008,170101,80201,80201. Dpto. Cusco   Prov. Acomayo   Dist. Acomayo,-,1,-,1,14,2,7,9,13,2,49,-71.67247761,-13.89315154,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136040,170101,40104,40104. Dpto. Arequipa   Prov. Arequipa   Dist. Cerro Colorado,-,5,3,1,8,-,3,7,5,3,35,-71.57659931,-16.30446531,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136071,170101,81201,81201. Dpto. Cusco   Prov. Quispicanchi   Dist. Urcos,-,1,2,2,10,4,6,2,21,-,48,-71.59913886,-13.68787434,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136097,170101,40103,40103. Dpto. Arequipa   Prov. Arequipa   Dist. Cayma,-,5,4,2,6,-,-,3,9,2,31,-71.45696154,-16.25268575,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136192,170101,80601,80601. Dpto. Cusco   Prov. Canchis   Dist. Sicuani,1,11,4,2,32,4,18,52,34,8,166,-71.10360857,-14.25101723,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136234,170101,210101,210101. Dpto. Puno   Prov. Puno   Dist. Puno,-,19,8,5,24,-,9,10,19,4,98,-70.06367703,-15.9050032,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136242,170101,80401,80401. Dpto. Cusco   Prov. Calca   Dist. Calca,-,-,4,3,17,3,3,13,13,2,58,-71.95777705,-13.26872231,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136266,170101,40102,40102. Dpto. Arequipa   Prov. Arequipa   Dist. Alto Selva Alegre,-,3,-,3,9,-,2,5,6,3,31,-71.48585714,-16.33096183,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
136299,170101,211101,211101. Dpto. Puno   Prov. San Roman   Dist. Juliaca,-,10,9,5,40,1,10,31,30,3,139,-70.21552891,-15.45987404,-70.28459131,-12.04858015,SIERRA,SELVA,SIERRA-SELVA
